Gene1,Gene2
CBX5,CEBPA
CCL3,CEBPA
CCNB2,CEBPA
CCNG2,CEBPA
CCT2,CEBPA
CD14,CEBPA
CD44,CEBPA
CD68,CEBPA
CDK1,CEBPA
CDK19,CEBPA
CDKN1A,CEBPA
CEBPA,CIC
CEBPA,COMMD3
CEBPA,CPT1A
CEBPA,CSF3R
CEBPA,CYC1
CEBPA,DAB2
CEBPA,E2F4
CEBPA,ECE2
CEBPA,EDEM1
CEBPA,EGR2
CEBPA,EIF4A1
CEBPA,F630028O10RIK
CEBPA,FABP4
CEBPA,FAM96A
CEBPA,FASTKD3
CEBPA,FCRL1
CEBPA,FES
CEBPA,FGL2
CEBPA,FKBP2
CEBPA,FLT3
CEBPA,FOXO1
CEBPA,FUT7
CEBPA,GABARAP
CEBPA,GANAB
CEBPA,GAS5
CEBPA,GEM
CEBPA,GHITM
CEBPA,GRCC10
CEBPA,GYS1
CEBPA,H2AFX
CEBPA,H3F3A
CEBPA,HAUS2
CEBPA,HINT1
CEBPA,HMGN2
CEBPA,HSPA5
CEBPA,HSPE1
CEBPA,HUS1
CEBPA,ID2
CEBPA,ID3
CEBPA,IDH3G
CEBPA,IFRD2
CEBPA,ILK
CEBPA,INPP5B
CEBPA,IPCEF1
CEBPA,ITCH
CEBPA,ITSN1
CEBPA,IVNS1ABP
CEBPA,JUP
CEBPA,KLF4
CEBPA,LIG1
CEBPA,LMO4
CEBPA,LTB
CEBPA,MAML3
CEBPA,MAPK14
CEBPA,MBNL1
CEBPA,MDM2
CEBPA,MECOM
CEBPA,MED1
CEBPA,MED10
CEBPA,MED15
CEBPA,MED16
CEBPA,MED21
CEBPA,MED27
CEBPA,MINPP1
CEBPA,MITF
CEBPA,MRM1
CEBPA,MRVI1
CEBPA,MTA2
CEBPA,MYC
CEBPA,MYO1D
CEBPA,NCOA3
CEBPA,NDUFA1
CEBPA,NDUFA4
CEBPA,NFE2
CEBPA,NFIL3
CEBPA,NUBP2
CEBPA,NUPR1
CEBPA,OAZ1
CEBPA,ORC5
CEBPA,OSGIN1
CEBPA,OST4
CEBPA,PDE4B
CEBPA,PER1
CEBPA,PIM2
CEBPA,PITPNC1
CEBPA,PLXNC1
CEBPA,PPARGC1A
CEBPA,PRDX2
CEBPA,PRR13
CEBPA,PSAT1
CEBPA,PSMB10
CEBPA,RANBP1
CEBPA,RB1
CEBPA,RBPMS
CEBPA,RPL12
CEBPA,RPS26
CEBPA,RPS27
CEBPA,RPTOR
CEBPA,RUNX1T1
CEBPA,SATB1
CEBPA,SLC18A1
CEBPA,SLC31A1
CEBPA,SLC39A10
CEBPA,SLC7A11
CEBPA,SMARCA2
CEBPA,SPCS1
CEBPA,SSH2
CEBPA,SSR4
CEBPA,SSTR2
CEBPA,STAG2
CEBPA,SYNJ1
CEBPA,TBXA2R
CEBPA,TBXAS1
CEBPA,TCF7L2
CEBPA,TIMP2
CEBPA,TINAGL1
CEBPA,TMBIM6
CEBPA,TMEM33
CEBPA,TNF
CEBPA,TPI1
CEBPA,TPT1
CEBPA,TRF
CEBPA,TRIB2
CEBPA,TRIB3
CEBPA,TSC22D3
CEBPA,TXNIP
CEBPA,UBC
CEBPA,UBTF
CEBPA,UCKL1
CEBPA,VAV3
CEBPA,WDR6
CEBPA,YWHAQ
CEBPA,ZBTB20
CEBPA,ZBTB38
CEBPA,ZEB2
CEBPA,ZFX
CENPB,CENPE
CENPB,PARP1
2810417H13RIK,CENPK
AURKB,CENPK
BIRC5,CENPK
BUB1B,CENPK
BUB3,CENPK
CCNA2,CENPK
CCNB1,CENPK
CDC20,CENPK
CDCA5,CENPK
CENPA,CENPK
CENPE,CENPK
CENPK,CENPL
CENPK,CENPO
CENPK,CEP55
CENPK,CKAP2L
CENPK,KIF11
CENPK,MIS12
CENPK,MIS18BP1
CENPK,NCAPG
CENPK,NCAPG2
CENPK,NDC80
CENPK,NDE1
CENPK,NDEL1
CENPK,NPM1
CENPK,NUP107
CENPK,NUP85
CENPK,NUSAP1
CENPK,PBK
CENPK,PLK1
CENPK,PRIM1
CENPK,RANGAP1
CENPK,RBBP4
CENPK,RBBP7
CENPK,SEC13
CENPK,SEH1L
CENPK,SHCBP1
CENPK,SPC24
CENPK,SPC25
CENPK,TPX2
CHD1,H3F3A
CHD4,EWSR1
CHD4,GATA1
CHD4,MTA2
CHD4,NFE2
CHD4,RORC
CHD4,TCF12
CHD7,GATAD2A
CHD7,MTA2
CHD7,NDN
CHD7,RBPJ
CHD7,SMARCA4
CHD7,SMARCC2
CHD7,SMARCE1
CIC,ZFP275
CIITA,CITED4
CIITA,EWSR1
CIITA,NFE2
CITED4,CREBBP
CITED4,EZH2
CITED4,HNRNPD
CITED4,IVNS1ABP
CITED4,LASS2
CITED4,POLR3F
CITED4,RAI14
CITED4,RBM39
CITED4,ZDHHC6
CNOT10,CNOT2
CNOT2,CNOT6
CNOT2,CNOT6L
CNOT2,CNOT7
CNOT2,CNOT8
CNOT2,EIF4E
CNOT2,PABPC1
CNOT10,CNOT6
CNOT6,CNOT7
CNOT6,CNOT8
CNOT10,CNOT6L
CNOT6L,CNOT7
CNOT6L,CNOT8
CNOT6L,EIF4E
CNOT6L,PABPC1
CNOT10,CNOT7
CNOT7,CNOT8
CNOT7,EIF4E
CNOT7,PABPC1
CNOT10,CNOT8
CNOT8,EIF4E
CNOT8,PABPC1
CNOT8,TOB1
ABCE1,COPS2
BTRC,COPS2
COPS2,COPS6
COPS2,COPS8
COPS2,CTNNB1
COPS2,NAE1
COPS2,NAP1L1
COPS2,PSMC6
COPS2,SSB
COPS2,TESPA1
COPS2,THRB
COPS2,TTC35
COPS2,UBA3
COPS2,VPS35
COPS5,COPS6
COPS5,COPS8
COPS5,ID3
COPS5,JUN
AKT1,CREB3
BCL2,CREB3
CAMK2D,CREB3
CREB3,CREBBP
CREB3,FOS
CREB3,FOSB
CREB3,MAPK1
CREB3,MAPK3
CREB3,MITF
CREB3,PCNA
CREB3,PPP1CA
CREB3,PPP1CB
BCL2,CREB5
CREB5,FOS
CREB5,FOSB
CREB5,PCNA
ALDOA,CREBBP
ANGPT1,CREBBP
AP1B1,CREBBP
CAMK2D,CREBBP
CDKN1A,CREBBP
CREB5,CREBBP
CREBBP,CTNNB1
CREBBP,EIF2B1
CREBBP,ENO1
CREBBP,EPAS1
CREBBP,ETS1
CREBBP,ETS2
CREBBP,GTF2B
CREBBP,HDAC10
CREBBP,HK2
CREBBP,HK3
CREBBP,HOXA9
CREBBP,LASS2
CREBBP,LYN
CREBBP,MITF
CREBBP,MLL2
CREBBP,MYB
CREBBP,NCOA3
CREBBP,NFE2
CREBBP,NFE2L2
CREBBP,PFKFB3
CREBBP,PGK1
CREBBP,POLR1B
CREBBP,PTMA
CREBBP,RBPJ
CREBBP,RELA
CREBBP,SERTAD2
CREBBP,SFPI1
CREBBP,SMAD2
CREBBP,SMAD4
CREBBP,STAT1
CREBBP,STAT2
CREBBP,STAT3
CREBBP,STAT6
CREBBP,TCF7L2
CREBBP,TEK
CREBBP,TFRC
CREBBP,TRF
CREBBP,VEGFC
CREBBP,ZFP592
CSDE1,NFE2
COX6A2,CSRP3
CTBP1,FOS
CTBP1,GLIS2
CTBP1,HDAC1
CTBP1,HDAC2
CTBP1,HDAC9
CTBP1,IKZF1
CTBP1,KDM2B
CTBP1,MECOM
CTBP1,PAK1
CTBP1,RBPJ
CTBP1,RUNX1
CTBP1,TCF7L2
1810046J19RIK,CTCF
1810058I24RIK,CTCF
2210016F16RIK,CTCF
2310016M24RIK,CTCF
2810468N07RIK,CTCF
4833439L19RIK,CTCF
6720456B07RIK,CTCF
9530082P21RIK,CTCF
AA467197,CTCF
ABCB8,CTCF
ABL1,CTCF
ACOT7,CTCF
ACSS2,CTCF
ADAM17,CTCF
ADK,CTCF
ADORA2A,CTCF
AI506816,CTCF
AKT1,CTCF
ALDH9A1,CTCF
ALOX5AP,CTCF
ANK,CTCF
ANKLE1,CTCF
ANKRD27,CTCF
ANKRD44,CTCF
ANXA1,CTCF
AP1B1,CTCF
APBB1,CTCF
API5,CTCF
APOE,CTCF
ARF1,CTCF
ARL8B,CTCF
ATF2,CTCF
ATP5F1,CTCF
ATP5K,CTCF
ATP5O,CTCF
ATP6V1D,CTCF
AURKAIP1,CTCF
B230219D22RIK,CTCF
BC056474,CTCF
BCAP31,CTCF
BCL2,CTCF
BDH2,CTCF
BMI1,CTCF
BOLA2,CTCF
C030034L19RIK,CTCF
C1RL,CTCF
CACYBP,CTCF
CALCRL,CTCF
CALR,CTCF
CAMK1D,CTCF
CAND2,CTCF
CAPG,CTCF
CAPNS1,CTCF
CAR2,CTCF
CARHSP1,CTCF
CCNA2,CTCF
CCT4,CTCF
CD164,CTCF
CD24A,CTCF
CD55,CTCF
CD7,CTCF
CD9,CTCF
CDCA5,CTCF
CDK17,CTCF
CDK19,CTCF
CDK2AP2,CTCF
CDK6,CTCF
CDKN1C,CTCF
CEBPA,CTCF
CHCHD2,CTCF
CHUK,CTCF
CISH,CTCF
CLEC4D,CTCF
CLEC7A,CTCF
CLN5,CTCF
CLTA,CTCF
CLTC,CTCF
CNIH,CTCF
CNN2,CTCF
CNP,CTCF
COMMD1,CTCF
COX17,CTCF
COX5A,CTCF
COX6A2,CTCF
CPT1A,CTCF
CRBN,CTCF
CREM,CTCF
CRIP1,CTCF
CRK,CTCF
CS,CTCF
CTCF,CTSO
CTCF,CXCL16
CTCF,CXCL2
CTCF,CXXC1
CTCF,CYBA
CTCF,CYP20A1
CTCF,DAZAP2
CTCF,DCTD
CTCF,DDX20
CTCF,DDX5
CTCF,DHRS3
CTCF,DNAJC11
CTCF,DNAJC9
CTCF,DNM1L
CTCF,DNMT1
CTCF,DOT1L
CTCF,DPP8
CTCF,DPYSL2
CTCF,DTL
CTCF,DUS1L
CTCF,EBF1
CTCF,EFNA1
CTCF,EGR1
CTCF,EIF1AD
CTCF,ELANE
CTCF,ELF2
CTCF,ELF4
CTCF,ELMO1
CTCF,ELOVL1
CTCF,ELP3
CTCF,EMILIN2
CTCF,EMP3
CTCF,ENPP5
CTCF,EPSTI1
CTCF,ERGIC3
CTCF,ERH
CTCF,ERLIN2
CTCF,ESAM
CTCF,ETF1
CTCF,ETS2
CTCF,EXT2
CTCF,EYA2
CTCF,FABP5
CTCF,FAM136A
CTCF,FAM171A1
CTCF,FAM45A
CTCF,FBXW5
CTCF,FCER1G
CTCF,FCHO2
CTCF,FIS1
CTCF,FKBP2
CTCF,FOSL2
CTCF,FRMD6
CTCF,FTL1
CTCF,FTSJ1
CTCF,FUT7
CTCF,GAA
CTCF,GADD45B
CTCF,GATA1
CTCF,GATA2
CTCF,GDA
CTCF,GDF3
CTCF,GFI1B
CTCF,GFM1
CTCF,GGT5
CTCF,GHITM
CTCF,GHR
CTCF,GIMAP3
CTCF,GIMAP5
CTCF,GIMAP8
CTCF,GLIS2
CTCF,GLRX5
CTCF,GLTP
CTCF,GMFG
CTCF,GNAI3
CTCF,GOLM1
CTCF,GPR160
CTCF,GPR18
CTCF,GSN
CTCF,GSTM1
CTCF,GYPA
CTCF,H2AFV
CTCF,H2-D1
CTCF,H2-K1
CTCF,H2-Q6
CTCF,H2-T23
CTCF,HAAO
CTCF,HARS2
CTCF,HDAC1
CTCF,HDAC10
CTCF,HEATR5A
CTCF,HIF3A
CTCF,HIST1H2BC
CTCF,HJURP
CTCF,HMG20A
CTCF,HMG20B
CTCF,HSD3B7
CTCF,ICAM1
CTCF,IDH1
CTCF,IDH3G
CTCF,IER3IP1
CTCF,IFI30
CTCF,IGF1
CTCF,IGFBP4
CTCF,IKZF2
CTCF,IL1R1
CTCF,IL27RA
CTCF,ILF3
CTCF,INHBA
CTCF,INSRR
CTCF,IPO9
CTCF,IRAK3
CTCF,IRF2
CTCF,ISG20
CTCF,ITSN1
CTCF,KAZALD1
CTCF,KIF20B
CTCF,KIT
CTCF,KRTCAP2
CTCF,LASS2
CTCF,LAT2
CTCF,LLGL1
CTCF,LMBRD1
CTCF,LPCAT3
CTCF,LPL
CTCFL,PRMT7
CTCF,LRRC59
CTCF,LTB
CTCFL,UBTF
CTCF,LYRM4
CTCF,MAGED1
CTCF,MAN2A2
CTCF,MAPK3
CTCF,MAPKAPK3
CTCF,MARS
CTCF,MBNL3
CTCF,MC5R
CTCF,MCTP1
CTCF,MDM2
CTCF,MDN1
CTCF,MECOM
CTCF,MED22
CTCF,MEMO1
CTCF,METAP1D
CTCF,MFSD10
CTCF,MGST3
CTCF,MIOS
CTCF,MIR17HG
CTCF,MIS18BP1
CTCF,MN1
CTCF,MOGS
CTCF,MRM1
CTCF,MRPL20
CTCF,MRPL28
CTCF,MRPL52
CTCF,MRPS16
CTCF,MRPS33
CTCF,MRPS36
CTCF,MRVI1
CTCF,MTMR1
CTCF,MTR
CTCF,MTUS1
CTCF,MYC
CTCF,MYL12B
CTCF,MYL6
CTCF,MYO1D
CTCF,NAA20
CTCF,NAA35
CTCF,NAA50
CTCF,NARF
CTCF,NARFL
CTCF,NCEH1
CTCF,NCKAP1
CTCF,NCLN
CTCF,NDOR1
CTCF,NDUFB10
CTCF,NDUFB7
CTCF,NDUFC1
CTCF,NDUFS8
CTCF,NDUFV1
CTCF,NDUFV2
CTCF,NEAT1
CTCF,NECAP2
CTCF,NET1
CTCF,NEURL3
CTCF,NFAM1
CTCF,NFE2
CTCF,NFIL3
CTCF,NFKBIA
CTCF,NHP2
CTCF,NOL9
CTCF,NONO
CTCF,NPM1
CTCF,NPTN
CTCF,NR2C1
CTCF,NR3C1
CTCF,NR3C2
CTCF,NRF1
CTCF,NT5C3
CTCF,NUP85
CTCF,NUP88
CTCF,NUS1
CTCF,NWD1
CTCF,OAS3
CTCF,OAT
CTCF,OAZ1
CTCF,P4HB
CTCF,PACS1
CTCF,PACSIN2
CTCF,PADI4
CTCF,PAFAH2
CTCF,PAIP2
CTCF,PARK7
CTCF,PARL
CTCF,PBLD2
CTCF,PCBP2
CTCF,PCYT1A
CTCF,PDHB
CTCF,PDIA3
CTCF,PEAR1
CTCF,PEBP1
CTCF,PFKFB3
CTCF,PFKM
CTCF,PHAX
CTCF,PIK3IP1
CTCF,PIK3R1
CTCF,PITPNC1
CTCF,PKIB
CTCF,PKLR
CTCF,PKN3
CTCF,PLCB2
CTCF,PLCL1
CTCF,PLEC
CTCF,PLEKHB1
CTCF,PLEKHG6
CTCF,PLEKHO2
CTCF,PLIN3
CTCF,PLK2
CTCF,PLXNC1
CTCF,PML
CTCF,POLR1B
CTCF,POLR1D
CTCF,POLR2C
CTCF,POLR2F
CTCF,POLR2H
CTCF,POLR2J
CTCF,PPM1F
CTCF,PPM1G
CTCF,PPOX
CTCF,PPP1R15A
CTCF,PRDX1
CTCF,PRDX6
CTCF,PREP
CTCF,PRKAA1
CTCF,PRPF4
CTCF,PRR13
CTCF,PRR5
CTCF,PRSS50
CTCF,PRSS57
CTCF,PSEN1
CTCF,PSMA3
CTCF,PSMA7
CTCF,PSMB5
CTCF,PSMC4
CTCF,PSMC6
CTCF,PSMD1
CTCF,PSMD6
CTCF,PSMD9
CTCF,PSME3
CTCF,PTP4A3
CTCF,PTPN12
CTCF,PTPN7
CTCF,PTPRE
CTCF,PTPRS
CTCF,PTS
CTCF,QDPR
CTCF,RAB32
CTCF,RAB37
CTCF,RAB8B
CTCF,RABIF
CTCF,RAD21
CTCF,RAMP1
CTCF,RARS
CTCF,RASA4
CTCF,RASSF5
CTCF,RCC1
CTCF,RFC1
CTCF,RFC4
CTCF,RFX7
CTCF,RGS2
CTCF,RHOF
CTCF,RHOG
CTCF,RNF145
CTCF,RNH1
CTCF,RORC
CTCF,RPL10A
CTCF,RPL11
CTCF,RPL23A
CTCF,RPL24
CTCF,RPL26
CTCF,RPL32
CTCF,RPL35
CTCF,RPL36
CTCF,RPL38
CTCF,RPL5
CTCF,RPL7A
CTCF,RPL9
CTCF,RPLP0
CTCF,RPS10
CTCF,RPS15
CTCF,RPS19
CTCF,RPS28
CTCF,RPS29
CTCF,RPS3A
CTCF,RPTOR
CTCF,RRM2
CTCF,RSU1
CTCF,RUSC2
CTCF,RUVBL2
CTCF,S100A6
CTCF,SALL2
CTCF,SAMD9L
CTCF,SAT1
CTCF,SATB1
CTCF,SDC1
CTCF,SDF2L1
CTCF,SDHAF2
CTCF,SELL
CTCF,SGPL1
CTCF,SHISA9
CTCF,SIRT7
CTCF,SLC14A1
CTCF,SLC25A38
CTCF,SLC25A5
CTCF,SLC29A1
CTCF,SLC37A1
CTCF,SLC43A2
CTCF,SLC44A2
CTCF,SMARCB1
CTCF,SMARCC2
CTCF,SNRNP25
CTCF,SNRPD1
CTCF,SNRPE
CTCF,SORT1
CTCF,SOX6
CTCF,SPC24
CTCF,SPC25
CTCF,SPHK1
CTCF,SQSTM1
CTCF,SRP19
CTCF,SSB
CTCF,SSH2
CTCF,ST6GALNAC4
CTCF,STAG2
CTCF,STAT6
CTCF,STRA13
CTCF,STX3
CTCF,STXBP3A
CTCF,SUMO2
CTCF,SUPT5H
CTCF,SUZ12
CTCF,TAPBP
CTCF,TASP1
CTCF,TBC1D9B
CTCF,TBL3
CTCF,TCERG1
CTCF,TEC
CTCF,TECPR1
CTCF,TECR
CTCF,TFDP1
CTCF,TFPI
CTCF,TGM2
CTCF,THRB
CTCF,THUMPD1
CTCF,TIPIN
CTCF,TLK1
CTCF,TMED2
CTCF,TMED3
CTCF,TMEM176B
CTCF,TMEM229B
CTCF,TMEM50B
CTCF,TNFRSF21
CTCF,TOP2A
CTCF,TOR3A
CTCF,TOX4
CTCF,TRAM1
CTCF,TRERF1
CTCF,TREX1
CTCF,TRIM28
CTCF,TRIM35
CTCF,TRP53
CTCF,TSC22D1
CTCF,TSC22D3
CTCF,TSC22D4
CTCF,TSPAN13
CTCF,TSPO2
CTCF,TUBA1C
CTCF,TUBA4A
CTCF,TUBB4B
CTCF,TWSG1
CTCF,TXNRD2
CTCF,TYK2
CTCF,UBA3
CTCF,UBC
CTCF,UBE2K
CTCF,UBE2L6
CTCF,UBL3
CTCF,UBTF
CTCF,UCKL1
CTCF,UHRF1
CTCF,UPF1
CTCF,UQCR11
CTCF,UQCRB
CTCF,UQCRC1
CTCF,UQCRFS1
CTCF,USF2
CTCF,VAMP5
CTCF,VAMP8
CTCF,VPS11
CTCF,VPS33A
CTCF,VTA1
CTCF,WARS
CTCF,WDR5
CTCF,WDSUB1
CTCF,WHSC1L1
CTCF,XRCC5
CTCF,YPEL5
CTCF,ZC3H7A
CTCF,ZFP639
CTCF,ZFX
CTCF,ZNRF2
CTCF,ZYX
CTCF,ZZZ3
BTRC,CTNNB1
CDC42,CTNNB1
CSNK2B,CTNNB1
CTNNA1,CTNNB1
CTNNB1,CUL4A
CTNNB1,ESR1
CTNNB1,EZR
CTNNB1,FBXW11
CTNNB1,FLT3
CTNNB1,HMGB2
CTNNB1,IQGAP1
CTNNB1,JUN
CTNNB1,MAPK12
CTNNB1,MAPK14
CTNNB1,MAPK9
CTNNB1,PECAM1
CTNNB1,PIK3R1
CTNNB1,PSEN1
CTNNB1,PSMA1
CTNNB1,PSMA4
CTNNB1,PSMA6
CTNNB1,PSMA7
CTNNB1,PSMB1
CTNNB1,PSMB10
CTNNB1,PSMB2
CTNNB1,PSMB4
CTNNB1,PSMB5
CTNNB1,PSMB7
CTNNB1,PSMC1
CTNNB1,PSMC4
CTNNB1,PSMC5
CTNNB1,PSMC6
CTNNB1,PSMD14
CTNNB1,PSMD5
CTNNB1,PSMD6
CTNNB1,PSMD7
CTNNB1,PSMD8
CTNNB1,PSME4
CTNNB1,RAB11A
CTNNB1,RAC1
CTNNB1,RELA
CTNNB1,SMARCA4
CTNNB1,TAX1BP3
CTNNB1,TCF7L2
CTNNB1,UBC
CCNL1,CTR9
CTR9,ELP2
CTR9,ELP3
CTR9,PABPC1
CTR9,RDBP
CTR9,RUVBL2
CTR9,SFPQ
CTR9,SUPT16H
CTR9,SUPT4H1
CTR9,SUPT5H
CTR9,TCEB3
CXXC1,DPY30
CXXC1,RELA
APP,DAB2
CSF1R,DAB2
DAB2,EPS15
DAB2,FOS
DAB2,ITSN1
DAB2,TSC22D3
DACH1,EYA1
DACH1,SMAD4
DAZAP2,GTF2E2
DAZAP2,NDN
DAZAP2,SOX6
DCP1A,EDC3
DCP1A,PATL1
DCP1A,RELA
CDT1,DDB1
CUL4A,DDB1
DCAF11,DDB1
DCAF13,DDB1
DCAF4,DDB1
DDB1,ERCC8
DDB1,RPA1
DDB1,RPA2
DDB1,TRP53
DDB1,XPC
DDX20,ETV3
DDX20,GEMIN5
DDX20,HDAC2
DDX20,NCOR1
DDX20,NCOR2
DDX20,NUP107
DDX20,NUP85
DDX20,NUP88
DDX20,PHAX
DDX20,PRMT5
DDX20,SEH1L
DDX20,SNRPB
DDX20,SNRPD1
DDX20,SNRPG
DDX20,STRAP
CUL3,DDX5
DDX5,HNRNPA2B1
DDX5,NPM1
DDX5,NUPR1
DDX5,SMAD2
DDX5,SMAD4
DDX5,SMARCA4
DEK,PCNA
DEK,RELA
DENND1C,DENND4A
CACYBP,DNAJC2
DNAJC2,EIF2S1
DNAJC2,GNL3
DNAJC2,NMD3
DNAJC2,SSB
DNAJC2,WDR43
DNAJC2,WDR75
AHCYL1,DNMT1
BIRC5,DNMT1
BUB1B,DNMT1
CDT1,DNMT1
CUL3,DNMT1
DNMT1,DNMT3A
DNMT1,EZH2
DNMT1,H3F3A
DNMT1,HDAC1
DNMT1,HDAC2
DNMT1,KCNQ1OT1
DNMT1,LIG1
DNMT1,MCM2
DNMT1,MCM3
DNMT1,MCM4
DNMT1,MCM6
DNMT1,MCM7
DNMT1,MSH6
DNMT1,PARP1
DNMT1,PCNA
DNMT1,POLD1
DNMT1,RRM1
DNMT1,TRIM28
DNMT1,UBC
DNMT1,UHRF1
DNMT1,ZBTB16
AHCYL1,DNMT3A
DNMT3A,EHMT1
DNMT3A,EHMT2
DNMT3A,EZH2
DNMT3A,H3F3A
DOT1L,MLLT3
DPF2,NFE2
DPF2,SMARCA4
CCNA2,E2F4
CDK1,E2F4
CDKN1A,E2F4
DHFR,E2F4
E2F4,H3F3A
E2F4,LDHA
E2F4,MYC
E2F4,NDN
E2F4,PCNA
E2F4,RBBP4
E2F4,RBL2
E2F4,SMAD2
E2F4,SMAD4
E2F4,TOP2A
E2F6,RPA1
E2F6,RPA2
E2F6,TAF1
E2F6,TAF6
E2F6,TAF7
E2F6,TAF9
2900010M23RIK,EDF1
EDF1,NDUFB7
EDF1,NDUFS8
EDF1,POLD1
EDF1,POLE
EDF1,PSMB4
EDF1,STIP1
EDF1,UQCR11
9530082P21RIK,EGR1
ACTG1,EGR1
AGAP3,EGR1
AHCYL1,EGR1
AKT1,EGR1
ANK,EGR1
APBB1,EGR1
APLP2,EGR1
ARID3B,EGR1
ARPC4,EGR1
ARPP21,EGR1
ATG4B,EGR1
ATP5D,EGR1
ATP5G3,EGR1
ATP5J,EGR1
ATP6V1C1,EGR1
ATP6V1F,EGR1
AXL,EGR1
BHLHE40,EGR1
BLVRB,EGR1
CAMSAP2,EGR1
CBFA2T3,EGR1
CBX3,EGR1
CBX5,EGR1
CCDC112,EGR1
CCNL1,EGR1
CDK17,EGR1
CEP70,EGR1
CHMP2A,EGR1
CIC,EGR1
CLTC,EGR1
CNOT2,EGR1
COL4A2,EGR1
CRIP2,EGR1
CSNK2B,EGR1
CTSL,EGR1
D1ERTD622E,EGR1
DYNLL1,EGR1
EGR1,EHMT1
EGR1,EIF5A
EGR1,ERGIC3
EGR1,FCHSD2
EGR1,FGFR3
EGR1,FKBP2
EGR1,FLT3
EGR1,FOSB
EGR1,FRMD6
EGR1,GFI1
EGR1,H2AFY
EGR1,H2-DMA
EGR1,HCFC1
EGR1,HMGA1
EGR1,HNRNPAB
EGR1,HPCAL1
EGR1,HPRT
EGR1,HSPA1A
EGR1,HSPA8
EGR1,HSPH1
EGR1,KLF6
EGR1,LMAN2L
EGR1,MAFF
EGR1,MAPK12
EGR1,MATR3
EGR1,MEA1
EGR1,MECOM
EGR1,MEIS1
EGR1,MIS12
EGR1,MRPL14
EGR1,MRPL28
EGR1,MYC
EGR1,MYST2
EGR1,NFE2
EGR1,NR3C1
EGR1,OTUD4
EGR1,PABPC1
EGR1,PACSIN2
EGR1,PIK3R1
EGR1,PLEC
EGR1,PNCK
EGR1,PPOX
EGR1,PRDX5
EGR1,PTMA
EGR1,RASA3
EGR1,RBBP7
EGR1,REL
EGR1,REXO2
EGR1,RNF115
EGR1,RNF19A
EGR1,RPL10
EGR1,RUNX1
EGR1,SESN1
EGR1,SF1
EGR1,SKIL
EGR1,SLC25A38
EGR1,SLC37A1
EGR1,SLC9A9
EGR1,SMARCA5
EGR1,SNX5
EGR1,SOCS2
EGR1,STAG2
EGR1,STARD10
EGR1,TAX1BP3
EGR1,TMEM56
EGR1,TMSB10
EGR1,TRA2B
EGR1,TRF
EGR1,TRP53I11
EGR1,TUBB4B
EGR1,TUBB6
EGR1,UBE2D3
EGR1,UBTF
EGR1,USF2
EGR1,USP11
EGR1,USP25
EGR1,XK
EGR1,XPR1
EGR1,ZC3H7A
EGR1,ZFP110
EGR1,ZMYM2
EGR1,ZYX
9530082P21RIK,EGR2
ACTN1,EGR2
AGAP3,EGR2
ALG9,EGR2
ANK,EGR2
ARL8B,EGR2
ARPP21,EGR2
ATG4B,EGR2
ATP5G3,EGR2
ATP5J,EGR2
ATP6V0C,EGR2
ATP6V1C1,EGR2
ATP6V1F,EGR2
CAMK1,EGR2
CBX3,EGR2
CCNE1,EGR2
CDK19,EGR2
CEP70,EGR2
CHMP2A,EGR2
CIC,EGR2
CLTC,EGR2
COL4A2,EGR2
CRIP2,EGR2
CTSL,EGR2
D1ERTD622E,EGR2
DDX20,EGR2
DYNLL1,EGR2
EGR1,EGR2
EGR2,EHMT1
EGR2,EIF3B
EGR2,ERGIC3
EGR2,F3
EGR2,FAM171A1
EGR2,FCHSD2
EGR2,FOSB
EGR2,FRMD6
EGR2,GFI1
EGR2,GNB1
EGR2,H2-DMA
EGR2,HDAC9
EGR2,HMGA1
EGR2,HNRNPAB
EGR2,HPCAL1
EGR2,HPRT
EGR2,HSPA1A
EGR2,HSPA8
EGR2,MATR3
EGR2,MECOM
EGR2,MED1
EGR2,MED10
EGR2,MED15
EGR2,MED16
EGR2,MED21
EGR2,MED27
EGR2,MEIS1
EGR2,MFNG
EGR2,MIS12
EGR2,MKL2
EGR2,MORC3
EGR2,MRPL28
EGR2,MYST2
EGR2,NCOA3
EGR2,NR3C1
EGR2,PABPC1
EGR2,PARP1
EGR2,PDGFRB
EGR2,PIK3R1
EGR2,PLEC
EGR2,PNCK
EGR2,PPARGC1A
EGR2,PPOX
EGR2,PQLC1
EGR2,PRKAR2B
EGR2,PRKCD
EGR2,RAB1
EGR2,RAB37
EGR2,RBBP7
EGR2,RPL10
EGR2,RUNX1
EGR2,SEC61G
EGR2,SEPT7
EGR2,SESN1
EGR2,SHROOM4
EGR2,SKIL
EGR2,SLC37A1
EGR2,SOCS2
EGR2,SORT1
EGR2,SUMO2
EGR2,TMSB10
EGR2,TNF
EGR2,TOMM70A
EGR2,TRIB2
EGR2,TRP53
EGR2,TRP53I11
EGR2,TUBB6
EGR2,UBC
EGR2,UBE2D3
EGR2,UBTF
EGR2,USP25
EGR2,XK
EGR2,XPR1
EGR2,ZBTB7A
EGR2,ZBTB8OS
EHMT2,H3F3A
EHMT2,NCOA3
ABCE1,EIF5B
EIF2S1,EIF5B
EIF3E,EIF5B
EIF3H,EIF5B
EIF3I,EIF5B
EIF3K,EIF5B
EIF4E,EIF5B
EIF5B,FAU
EIF5B,NHP2L1
EIF5B,QARS
EIF5B,RPL10A
